route_id,sequence,station,city,trip_hint
M200,1,Brașov,Brașov,Start (Brașov)
M200,2,Făgăraș,Făgăraș,Halt / Umstieg (Făgăraș)
M200,3,Sibiu,Sibiu,Halt / Umstieg (Sibiu)
M200,4,Simeria,Simeria,Halt / Umstieg (Simeria)
M200,5,Deva,Deva,Halt / Umstieg (Deva)
M200,6,Arad,Arad,Halt / Umstieg (Arad)
M200,7,Curtici,Curtici,Ziel (Curtici)
M300,1,București Nord,București,Start (București)
M300,2,Ploiești Vest,Ploiești,Halt / Umstieg (Ploiești)
M300,3,Brașov,Brașov,Halt / Umstieg (Brașov)
M300,4,Sighișoara,Sighișoara,Halt / Umstieg (Sighișoara)
M300,5,Mediaș,Mediaș,Halt / Umstieg (Mediaș)
M300,6,Teiuș,Teiuș,Halt / Umstieg (Teiuș)
M300,7,Cluj-Napoca,Cluj-Napoca,Halt / Umstieg (Cluj-Napoca)
M300,8,Oradea,Oradea,Ziel (Oradea)
M400,1,Brașov,Brașov,Start (Brașov)
M400,2,Dej Călători,Dej,Halt / Umstieg (Dej)
M400,3,Baia Mare,Baia Mare,Halt / Umstieg (Baia Mare)
M400,4,Satu Mare,Satu Mare,Ziel (Satu Mare)
M500,1,București Nord,București,Start (București)
M500,2,Ploiești Vest,Ploiești,Halt / Umstieg (Ploiești)
M500,3,Buzău,Buzău,Halt / Umstieg (Buzău)
M500,4,Focșani,Focșani,Halt / Umstieg (Focșani)
M500,5,Bacău,Bacău,Halt / Umstieg (Bacău)
M500,6,Pașcani,Pașcani,Halt / Umstieg (Pașcani)
M500,7,Suceava,Suceava,Ziel (Suceava)
M600,1,Făurei,Făurei,Start (Făurei)
M600,2,Bârlad,Bârlad,Halt / Umstieg (Bârlad)
M600,3,Vaslui,Vaslui,Halt / Umstieg (Vaslui)
M600,4,Iași,Iași,Ziel (Iași)
M700,1,București Nord,București,Start (București)
M700,2,Buzău,Buzău,Halt / Umstieg (Buzău)
M700,3,Făurei,Făurei,Halt / Umstieg (Făurei)
M700,4,Brăila,Brăila,Halt / Umstieg (Brăila)
M700,5,Galați,Galați,Ziel (Galați)
M800,1,București Nord,București,Start (București)
M800,2,Fetești,Fetești,Halt / Umstieg (Fetești)
M800,3,Medgidia,Medgidia,Halt / Umstieg (Medgidia)
M800,4,Constanța,Constanța,Halt / Umstieg (Constanța)
M800,5,Mangalia,Mangalia,Ziel (Mangalia)
M900,1,București Nord,București,Start (București)
M900,2,Craiova,Craiova,Halt / Umstieg (Craiova)
M900,3,Drobeta-Turnu Severin,Drobeta-Turnu Severin,Halt / Umstieg (Drobeta-Turnu Severin)
M900,4,Caransebeș,Caransebeș,Halt / Umstieg (Caransebeș)
M900,5,Timișoara Nord,Timișoara,Ziel (Timișoara)
