route_id,sequence,station,arrival_local,departure_local,trip_hint
M200,1,Brașov,,,Start (Brașov)
M200,2,Făgăraș,,,Halt / Umstieg (Făgăraș)
M200,3,Sibiu,,,Halt / Umstieg (Sibiu)
M200,4,Simeria,,,Halt / Umstieg (Simeria)
M200,5,Deva,,,Halt / Umstieg (Deva)
M200,6,Arad,,,Halt / Umstieg (Arad)
M200,7,Curtici,,,Ziel (Curtici)
M300,1,București Nord,,,Start (București)
M300,2,Ploiești Vest,,,Halt / Umstieg (Ploiești)
M300,3,Brașov,,,Halt / Umstieg (Brașov)
M300,4,Sighișoara,,,Halt / Umstieg (Sighișoara)
M300,5,Mediaș,,,Halt / Umstieg (Mediaș)
M300,6,Teiuș,,,Halt / Umstieg (Teiuș)
M300,7,Cluj-Napoca,,,Halt / Umstieg (Cluj-Napoca)
M300,8,Oradea,,,Ziel (Oradea)
M400,1,Brașov,,,Start (Brașov)
M400,2,Dej Călători,,,Halt / Umstieg (Dej)
M400,3,Baia Mare,,,Halt / Umstieg (Baia Mare)
M400,4,Satu Mare,,,Ziel (Satu Mare)
M500,1,București Nord,,,Start (București)
M500,2,Ploiești Vest,,,Halt / Umstieg (Ploiești)
M500,3,Buzău,,,Halt / Umstieg (Buzău)
M500,4,Focșani,,,Halt / Umstieg (Focșani)
M500,5,Bacău,,,Halt / Umstieg (Bacău)
M500,6,Pașcani,,,Halt / Umstieg (Pașcani)
M500,7,Suceava,,,Ziel (Suceava)
M600,1,Făurei,,,Start (Făurei)
M600,2,Bârlad,,,Halt / Umstieg (Bârlad)
M600,3,Vaslui,,,Halt / Umstieg (Vaslui)
M600,4,Iași,,,Ziel (Iași)
M700,1,București Nord,,,Start (București)
M700,2,Buzău,,,Halt / Umstieg (Buzău)
M700,3,Făurei,,,Halt / Umstieg (Făurei)
M700,4,Brăila,,,Halt / Umstieg (Brăila)
M700,5,Galați,,,Ziel (Galați)
M800,1,București Nord,,,Start (București)
M800,2,Fetești,,,Halt / Umstieg (Fetești)
M800,3,Medgidia,,,Halt / Umstieg (Medgidia)
M800,4,Constanța,,,Halt / Umstieg (Constanța)
M800,5,Mangalia,,,Ziel (Mangalia)
M900,1,București Nord,,,Start (București)
M900,2,Craiova,,,Halt / Umstieg (Craiova)
M900,3,Drobeta-Turnu Severin,,,Halt / Umstieg (Drobeta-Turnu Severin)
M900,4,Caransebeș,,,Halt / Umstieg (Caransebeș)
M900,5,Timișoara Nord,,,Ziel (Timișoara)
